strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Indonesia/JK-NIHRD-W01928/2023	EPI_ISL_17681450		RSJPD Harapan Kita	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Indonesia/JI-ITD-61096NT/2023	EPI_ISL_17736327		RSUD Dr. Sayidiman Magetan	Institute of Tropical Disease, Universitas Airlangga	Rima R Prasetya et al
hCoV-19/Shanghai/SCDC-HG0427-378/2023	EPI_ISL_17618423		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Shanghai Municipal Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Indonesia/JK-NIHRD-W03372/2023	EPI_ISL_17997213		RSJPD Harapan Kita	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Afghanistan/58048/2023	EPI_ISL_19084616		Central Public Health Laboratories	Central Public Health Laboratories	Mohammad Bashir Omer et al
hCoV-19/Pakistan/NIH-AHF-S34/2023	EPI_ISL_18445478		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Afghanistan/70681/2023	EPI_ISL_19084627		Central Public Health Laboratories	Central Public Health Laboratories	Mohammad Bashir Omer et al
hCoV-19/Indonesia/RI-NIHRD-W03502/2023	EPI_ISL_18062424		Dinas Kesehatan Provinsi Riau (RS Santa Maria Pekan Baru)	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Indonesia/BA-SANGLAHUNUD-0580/2023	EPI_ISL_18537576		RSUP Prof IGNG Ngoerah	RSUP Prof IGNG Ngoerah/FK Unud	Luh Inta Prilandari et al
hCoV-19/Indonesia/JI-ITD-61722NT/2023	EPI_ISL_18705047		Premier Hospital Surabaya	Institute of Tropical Disease, Universitas Airlangga	Jezzy R Dewantari et al
hCoV-19/Pakistan/NIH-B158-S21/2023	EPI_ISL_18242882		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/DRC/INRB-DRC-0562/2023	EPI_ISL_17976346		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/USA/CA-CDPH-500119242/2023	EPI_ISL_18270675		Tidewater Physicians Multispecialty Group Regional Laboratory	California Department of Public Health	Michelle R. Scribner et al.
hCoV-19/Indonesia/JK-CW62-4153/2023	EPI_ISL_17389283		Labkesda DKI Jakarta	National Quality Control Laboratory of Drug and Food	Yusrina et al
hCoV-19/Indonesia/JB-WJHL-ITB-SITH-W05613/2023	EPI_ISL_18693198		RSUP Dr. Hasan Sadikin	West Java Health Laboratory; School of Life Sciences and Technology, Institut Teknologi Bandung	Azzania Fibriani et al
hCoV-19/Italy/UMB-LAOP-130-2-17-2023/2023	EPI_ISL_18234454		Azienda Ospedaliera Perugia	Azienda Ospedaliera Perugia	Mencacci A et al
hCoV-19/Germany/BB-ChVir44472/2023	EPI_ISL_18500368		Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/India/MH-ICMR-NIV-G-14676/2023	EPI_ISL_18209972		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/USA/CA-GBW-H10-014-2450/2023	EPI_ISL_18049197		Clinical Enterprise Airport (DC Pooled) - 10 Swab	Ginkgo Bioworks Clinical Laboratory / XpressCheck	Keith Robison et al
hCoV-19/Guatemala/2074-DLNS/2023	EPI_ISL_18099399		Dirección del Laboratorio Nacional de Salud (DLNS), Guatemala	Dirección del Laboratorio Nacional de Salud (LNS), Guatemala	Maria Linda Mendoza Prillwitz et al
hCoV-19/Austria/AGES-1141066/2023	EPI_ISL_18325626		Burgenländische Krankenanstalten GmbH Klinik Oberwart Zentrallabor	AGES IMED Vienna	Polster E. et al
hCoV-19/Mexico/CMX-INER-2759/2023	EPI_ISL_18798203		Instituto Nacional de Enfermedades Respiratorias (INER)	Laboratorio de Biología Molecular de Enfermedades Emergentes y EPOC, Instituto Nacional de Enfermedades Respiratorias (INER)	Vigilancia Genómica Instituto Nacional de Enfermedades Respiratorias. Authors (in last name alphabetical order): Victor Ahumada-Topete et al
hCoV-19/Ukraine/83970/2023	EPI_ISL_19319921		Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Iryna Demchyshyna et al
hCoV-19/Guatemala/0068-DLNS/2023	EPI_ISL_18955431		Dirección del Laboratorio Nacional de Salud (DLNS)	Dirección del Laboratorio Nacional de Salud (DLNS)	Maria Linda Mendoza Prillwitz et al
hCoV-19/USA/OH-ODH-SC3032921/2023	EPI_ISL_18430094		Pathology and Laboratory Medicine Institute, Cleveland Clinic, Ohio, USA	Ohio Department of Health Laboratory	Samantha Sevilla et al
hCoV-19/Myanmar/DMR_24001/2023	EPI_ISL_18744368		Department of Medical Research	Department of Medical Research	Myat Htut Nyunt et al
hCoV-19/Cambodia/940304/2023	EPI_ISL_18694304		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al
hCoV-19/Canada/BC-BCCDC-645156/2023	EPI_ISL_18276788		British Columbia Centre For Disease Control	B.C. Centre for Disease Control Public Health Laboratory	Natalie Prystajecky et al
hCoV-19/Mexico/VER_CIAD-IMSS_01049162-LCE/2023	EPI_ISL_18279741		Laboratorio Central de Epidemiologia (LCE)	Microbial Genomics Laboratory	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Indonesia/JK-NIHRD-W03842/2023	EPI_ISL_18639167		RS Pantai Indah Kapuk	National Institute of Health Research and Development	Hartanti Dian Ikawati et al
hCoV-19/Wales/CLIMB-CM7Y8Z18/2023	EPI_ISL_18578232		Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	Public Health Wales Microbiology Cardiff Wales Specialist Virology Centre	Catherine Moore et al
hCoV-19/France/ARA-HCL023173367301/2023	EPI_ISL_18509969		24530 AU SERVICE ACCUEIL DES URGENCES	CNR Virus des Infections Respiratoires, France SUD	Bruno Simon et al
hCoV-19/USA/CO-CDPHE-41580015/2023	EPI_ISL_18738550		Colorado Department of Public Health and Environment	Colorado Department of Public Health and Environment	Laura Bankers et al
hCoV-19/Japan/PG-576384/2023	EPI_ISL_18391942		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Naobumi Sasaki et al
hCoV-19/Chongqing/WZCDC-714/2023	EPI_ISL_19080241		Microbiological detection Institute, Chongqing center for disease control and prevetion	Chongqing Municipal Center for Disease Control and Prevention	Ye et al
hCoV-19/Heilongjiang/HLJCDC-2651/2023	EPI_ISL_18716396		Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Xu Jun et al
hCoV-19/Shanxi/JCCDC-JCCX0628/2023	EPI_ISL_18805108		Department of Microbiology, Jincheng Centers for Disease Control and prevention	Department of Microbiology, Jincheng Centers for Disease Control and prevention	Zhang et al B
hCoV-19/Fujian/FCDC-QZ09S045/2023	EPI_ISL_18376441		Institute for the Prevention and Control of Infectious Diseases, Fujian Provincial Center for Disease Control and Prevention	Institute for the Prevention and Control of Infectious Diseases, Fujian Provincial Center for Disease Control and Prevention	Qi Lin et al
hCoV-19/Shanghai/SCDC-XG10-14702/2023	EPI_ISL_18475153		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Chen et al
hCoV-19/Shanghai/SCDC-XG06-8835/2023	EPI_ISL_17836458		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Shanghai Municipal Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Guangdong/GDCDC_SZHG_1706/2023	EPI_ISL_18036284		Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention	Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention	Chang Zhang et al
hCoV-19/Guangdong/GDCDC_GZHG_1053/2023	EPI_ISL_18034332		Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention	Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention	Chang Zhang et al
hCoV-19/Hubei/HCDC-HS2558/2023	EPI_ISL_18145979		Huangshi Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention Center of Pathogenic Microorganism Detection	Yongzhong Jiang et al
hCoV-19/Hubei/HCDC-2237/2023	EPI_ISL_17988084		Xiangyang Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention Center of Pathogenic Microorganism Detection	Yongzhong Jiang et al
hCoV-19/Shanghai/SCDC-5_S5/2023	EPI_ISL_18481047		Microbe lab, Shanghai Municipal Center for Disease Control and Prevention	Microbe lab, Shanghai Municipal Center for Disease Control and Prevention	Chen et al
hCoV-19/Hubei/HCDC-JM2184/2023	EPI_ISL_17978530		Jingmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention Center of Pathogenic Microorganism Detection	Yongzhong Jiang et al
hCoV-19/Shanghai/SCDC-HG0723-2726/2023	EPI_ISL_18060805		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Zhang et al B
hCoV-19/Russia/PRI-RII-MH144243S/2023	EPI_ISL_18299855		Vladivostok Clinical Hospital No 4	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Kazakhstan/NCE816/2023	EPI_ISL_18411847		National Center of Expertise in Almaty region	National center of Expertise, National center for Biotechnology	Abdaliyev Askar et al
hCoV-19/Heilongjiang/HLJCDC-2504/2023	EPI_ISL_18465141		Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Xu Jun et al
hCoV-19/Xinjiang/XJCDCKLMY_299/2023	EPI_ISL_18505649		Disease control, Xinjiang center of diease control	Disease control, Xinjiang center of diease control	Ma et al
hCoV-19/Shanghai/SCDC-XG08-12494/2023	EPI_ISL_18208588		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Zhang et al B
hCoV-19/Gansu/GSCDC-0519/2023	EPI_ISL_18634065		Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Li et al
hCoV-19/USA/HI-H2325023/2023	EPI_ISL_18365937		State Laboratories Division, Hawaii State Department of Health	State Laboratories Division, Hawaii State Department of Health	Pamela O'Brien et al
hCoV-19/Yunnan/YNCDC-2223/2023	EPI_ISL_18166283		The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Henan/SMXCDC093008/2023	EPI_ISL_18454306		Sanmenxia Center for Disease prevention and control	Sanmenxia Center for Disease prevention and control	Yang et al
hCoV-19/Italy/VEN-ULSS8-1309931_VI/2023	EPI_ISL_18406533		AULSS 8 Berica	U.O.S. Biologia Molecolare - Microbiologia - Azienda ULSS 8 Berica; Istituto Zooprofilattico Sperimentale delle Venezie	Isabella Cerbaro et al
hCoV-19/Liaoning/LNCDC-354-27/2023	EPI_ISL_18388940		Institute for Communicable and Infectious Diseases Prevention and Control, Liaoning Center for Disease Control and Prevention	Institute for Communicable and Infectious Diseases Prevention and Control, Liaoning Center for Disease Control and Prevention	Mao et al
hCoV-19/Beijing/BJCDC-4340/2023	EPI_ISL_18438301		Institute for Infectious Disease and Endemic Disease Control, Beijing Center for Disease Control and Prevention	Institute for Infectious Disease and Endemic Disease Control, Beijing Center for Disease Control and Prevention	Pan et al
hCoV-19/Xinjiang/XJCDCBAZ-291/2023	EPI_ISL_18320891		Xinjiang center of diease control, Jianquan street	Xinjiang center of diease control, Jianquan street	Ma et al
hCoV-19/Heilongjiang/HLJCDC-2242/2023	EPI_ISL_18384392		Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Xu Jun et al
hCoV-19/Hubei/HCDC-WH3583/2023	EPI_ISL_18589883		Wuhan Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention Center of Pathogenic Microorganism Detection	Yongzhong Jiang et al
hCoV-19/Gansu/TSCDC-101211/2023	EPI_ISL_18401746		Laboratory Department, Tianshui Center for Disease Control and Prevention	Laboratory Department, Tianshui Center for Disease Control and Prevention	Yang et al
hCoV-19/Shanxi/JCCDC-JCCX0544/2023	EPI_ISL_18602715		Department of Microbiology, Jincheng Centers for Disease Control and prevention	Department of Microbiology, Jincheng Centers for Disease Control and prevention	Zhang et al B
hCoV-19/Gansu/GSCDC-0694/2023	EPI_ISL_18634239		Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Li et al
hCoV-19/Indonesia/JI-ITD-61699NT/2023	EPI_ISL_18705043		National Hospital	Institute of Tropical Disease, Universitas Airlangga	Aldise M Nastri et al
hCoV-19/Henan/HBCDC-cx32/2023	EPI_ISL_18078187		CDC, Hebi Center for Disease Control and Prevention	CDC, Hebi Center for Disease Control and Prevention	Wang Xi et al
hCoV-19/Sichuan/GACDC-11231383/2023	EPI_ISL_18133965		Guang'an Center of Disease Control and Prevention	Microbiology laboratory, Sichuan Center of Disease Control and Prevention	Yin et al
hCoV-19/Heilongjiang/HLJCDC-2220/2023	EPI_ISL_18245887		Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Xu Jun et al
hCoV-19/India/GJ-INSACOG-GBRC13543/2023	EPI_ISL_18136390		Bhailal Amin General Hospital, Gorva, Vadodara	Gujarat Biotechnology Research Centre-INSACOG	Nimesh Patel et al
hCoV-19/Henan/PYCDC-LG23670/2023	EPI_ISL_18078192		Microbiological laboratory, Puyang Center for Disease Control and Prevention	Microbiological laboratory, Puyang Center for Disease Control and Prevention	Xu et al
hCoV-19/Shanghai/SCDC-XG08-11717/2023	EPI_ISL_18108578		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Zhang et al B
hCoV-19/Hubei/HCDC-SNJ2340/2023	EPI_ISL_18049739		Shennongjia Forest District Center for Disease Control and Prevention	Institute of Health Inspection and Testing, Hubei Provincial Center for Disease Control and Prevention	Jiang et al
hCoV-19/Sichuan/ZYCDC-YJ0368/2023	EPI_ISL_18564318		Ziyang Center of Disease Control and Prevention	Microbiology laboratory, Sichuan Center of Disease Control and Prevention	Zhang et al B
hCoV-19/Gansu/GSCDC-0732/2023	EPI_ISL_18634276		Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Li et al
hCoV-19/Indonesia/JB-WJHL-ITB-SITH-W05614/2023	EPI_ISL_18693199		RSUP Dr. Hasan Sadikin	West Java Health Laboratory; School of Life Sciences and Technology, Institut Teknologi Bandung	Azzania Fibriani et al
hCoV-19/Yunnan/YNCDC-3294/2023	EPI_ISL_18602869		The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Yunnan/YNCDC-2920/2023	EPI_ISL_18384523		The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Sichuan/YBCDC-XGCX367/2023	EPI_ISL_18232751		Yibin Center of Disease Control and Prevention	Microbiology laboratory, Sichuan Center of Disease Control and Prevention	Jiang et al
hCoV-19/Shanxi/SXJCCDC-JCCX240001/2023	EPI_ISL_18983020		Department of Microbiology, Jincheng Centers for Disease Control and prevention	Department of Microbiology, Jincheng Centers for Disease Control and prevention	Zhang et al B
hCoV-19/Xinjiang/XJCDCALT-002/2024	EPI_ISL_18858689		Xinjiang CDC	Xinjiang CDC	Ma et al
hCoV-19/Yunnan/YNCDC-3470/2023	EPI_ISL_18672324		The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Henan/HBCDC-CX124/2023	EPI_ISL_18608339		CDC, Hebi Center for Disease Control and Prevention	CDC, Hebi Center for Disease Control and Prevention	Wang et al
hCoV-19/Thailand/MTM_01_1184/2023	EPI_ISL_19017413		Clinical Trial Unit, Hospital for Tropical Diseases	Molecular Malaria Laboratory, Mahidol Oxford Tropical Medicine Research Unit	William HK Schilling et al
hCoV-19/Henan/SQCDC-0138/2024	EPI_ISL_18997919		Microbiological experiment, Shangqiu Center for Disease Control and Prevention	Microbiological experiment, Shangqiu Center for Disease Control and Prevention	Zhao et al
hCoV-19/Gansu/BYCDC247/2023	EPI_ISL_18703864		Inspection and testing department, Center for Disease Control and Preventron of Baiyin City	Inspection and testing department, Center for Disease Control and Preventron of Baiyin City	Yang et al
hCoV-19/Gansu/GSCDC-1029/2023	EPI_ISL_18961157		Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	Gansu Provincial Pathogen Detection Institute, Gansu Provincial Centre for Disease Control and Prevention	LI et al
